grid_latitude,grid_longitude,runoff_value,runoff_coefficient,elevation_m,drainage_density_km_per_km2,total_population,slope
28.450001,77.125,0.4503319897431143,0.4724402387412123,291.0,0.0,60483.0,0.0057642125859544
28.450001,77.1375,0.4391252814192298,0.4989040718745742,262.0,0.0,60483.0,0.0128257391879822
28.450001,77.15,0.441486040866968,0.4933293087695328,263.0,0.0,60483.0,0.0078983402918816
28.450001,77.1625,0.4349676450539401,0.5087220301742228,254.0,0.0,47780.0,0.001228368879141
28.450001,77.175,0.4573926049924597,0.4557671052592497,260.0,0.0,47780.0,0.0016543196762334
28.450001,77.1875,0.4755458918176053,0.4128994281966787,252.0,0.0,47780.0,0.0097729294235234
28.450001,77.2,0.4402897209609845,0.4961543319120191,267.0,0.0,47780.0,0.0083143212671767
28.450001,77.2125,0.4144415125055967,0.5571930112092982,272.0,0.0,47780.0,0.0104610174182184
28.450001,77.225,0.4334080373189524,0.512404931313378,292.0,0.0,47780.0,0.0025015029812904
28.450001,77.2375,0.4600565789225659,0.449476323031278,277.0,0.0,47780.0,0.0142462481526595
28.462501,77.125,0.4410963477440898,0.4942495409625209,283.0,0.0,60483.0,0.0064892187095316
28.462501,77.1375,0.4460549768173759,0.4825400961752408,254.0,0.0,60483.0,0.0050030059625808
28.462501,77.15,0.4906353570177305,0.3772667448442696,273.0,0.0,60483.0,0.0014374128730152
28.462501,77.1625,0.4753989497635933,0.4132464212552343,254.0,0.0,60483.0,0.0061523481140555
28.462501,77.175,0.4588091144261229,0.4524221204340087,258.0,0.0,47780.0,0.0045610007791809
28.462501,77.1875,0.5318587634952718,0.2799206447512264,265.0,0.0,47780.0,0.0067525252548812
28.462501,77.2,0.4418085226666666,0.4925677912668793,269.0,0.0,47780.0,0.0044714442832617
28.462501,77.2125,0.4429196338953901,0.4899439822678646,275.0,0.0,47780.0,0.0094636630355618
28.462501,77.225,0.4290071036489362,0.5227974186440321,290.0,0.0,107021.0,0.0067525252548812
28.475001,77.125,0.5101175870608357,0.3312608642568651,278.0,0.0,60483.0,0.0020785803167941
28.475001,77.1375,0.5377968156888692,0.2658983629315383,270.0,0.0,60483.0,0.0087883222237128
28.475001,77.15,0.4227918909769284,0.5374741949361233,267.0,0.0,60483.0,0.0071158784509005
28.475001,77.1625,0.4467375992221074,0.4809281326182515,255.0,0.0,60483.0,0.0054041941046721
28.475001,77.175,0.4194055927558704,0.5454706938608687,258.0,0.0,47780.0,0.0045610007791809
28.475001,77.1875,0.4789033327720714,0.4049710736249138,266.0,0.0,47780.0,0.005732388102658
28.475001,77.2,0.4318045012865178,0.5161915659574903,272.0,0.0,47780.0,0.0069977622638628
28.475001,77.2125,0.4690502560685262,0.4282384033525115,283.0,0.0,107021.0,0.0075953574373243
28.475001,77.225,0.4661560542365702,0.4350728521595637,278.0,0.0,107021.0,0.0147845994341158
28.475001,77.2375,0.442974562850551,0.4898142715034227,280.0,0.0,107021.0,0.0159516164536154
28.487501,77.125,0.4301578764865956,0.5200799516171336,282.0,0.0,61936.0,0.0030622346348864
28.487501,77.1375,0.4984770813624031,0.3587490785913744,275.0,0.1970839870009032,61936.0,0.0078540098806168
28.487501,77.15,0.4573558749467861,0.455853840612004,263.0,0.0,61936.0,0.0041103017318743
28.487501,77.1625,0.4711761276821705,0.4232183109203268,265.0,0.0,60483.0,0.0044837809949675
28.487501,77.175,0.4624035173848514,0.4439341971861874,260.0,0.0,47780.0,0.0010780596547614
28.487501,77.1875,0.5093152605529716,0.3331555004166494,265.0,0.0,61936.0,0.0030622346348864
28.487501,77.2,0.3848530453630491,0.6270640415334751,267.0,0.0,55826.0,0.0085856778377466
28.487501,77.2125,0.4208284994135174,0.542110602452755,255.0,0.0,55826.0,0.0171198764481403
28.487501,77.225,0.4544165984472706,0.4627947299943225,249.0,0.7045452035025311,67235.0,0.0136615596647561
28.487501,77.2375,0.5080289234123869,0.3361930927638266,254.0,0.1076352992887352,107021.0,0.0146571022064687
28.487501,77.25,0.4678153968283463,0.431154434352057,256.0,0.0,52705.0,0.0036252427322418
28.500001,77.1125,0.457980201393236,0.4543795387543943,255.0,0.0,169655.0,0.0142317569018011
28.500001,77.125,0.4246867724592199,0.5329995690329947,275.0,0.0,169655.0,0.0063061513337113
28.500001,77.1375,0.4732151433682033,0.4184033224944681,267.0,0.0,61936.0,0.0037025863480341
28.500001,77.15,0.4081619487813239,0.5720217478683305,266.0,0.0,169655.0,0.0021561193095228
28.500001,77.1625,0.4929344114544917,0.3718376936705815,267.0,0.0,169655.0,0.0020785803167941
28.500001,77.175,0.4610845282825059,0.4470488947851961,261.0,0.0,61936.0,0.0021791344754655
28.500001,77.1875,0.5461229482783688,0.2462368015589489,263.0,0.0,61936.0,0.0076553967815951
28.500001,77.2,0.4742110063102837,0.4160516640090994,251.0,0.1822801568204239,55826.0,0.0110339339974288
28.500001,77.2125,0.4339805081477541,0.5110530827554177,240.0,0.0,55826.0,0.0097297377557758
28.500001,77.225,0.5272872500242316,0.2907159439745215,240.0,0.0218244404369501,58573.0,0.0064683579285686
28.500001,77.2375,0.6069710599858156,0.1025483760045775,240.0,0.0,58573.0,0.0054521494205746
28.500001,77.25,0.4988838843199777,0.3577884427582395,242.0,0.0,55464.0,0.0063247458324664
28.512501,76.8875,0.5097656404557291,0.3320919607715786,213.0,0.0,1975595.0,0.0021561193095228
28.512501,76.9,0.5097656404557291,0.3320919607715786,213.0,0.0,1975595.0,0.0021561193095228
28.512501,76.9125,0.5097656404557291,0.3320919607715786,213.0,0.0,1975595.0,0.0021561193095228
28.512501,76.925,0.5097656404557291,0.3320919607715786,213.0,0.9337416997044808,1975595.0,0.0021561193095228
28.512501,76.9375,0.5097656404557291,0.3320919607715786,213.0,0.6215875448440363,1975595.0,0.0021561193095228
28.512501,76.95,0.5097656404557291,0.3320919607715786,213.0,0.0562528907237656,1975595.0,0.0021561193095228
28.512501,76.9625,0.5097656404557291,0.3320919607715786,213.0,0.9004540387316486,1975595.0,0.0021561193095228
28.512501,77.0625,0.4871424492293144,0.3855149945703608,225.0,0.0,419626.0,0.0049629590287003
28.512501,77.1,0.4551297870342303,0.4611105866033774,244.0,0.0,169655.0,0.0058873767577562
28.512501,77.1125,0.505061864252684,0.3431995888936353,248.0,0.0,169655.0,0.0114229909144958
28.512501,77.125,0.4269948957592548,0.5275491023930119,271.0,0.0,169655.0,0.0132603025669196
28.512501,77.1375,0.4262147684044439,0.529391316854549,274.0,0.0,169655.0,0.0013538206834317
28.512501,77.15,0.4692962294754569,0.4276575548992342,269.0,0.0,169655.0,0.0043582689509311
28.512501,77.1625,0.4999441729207083,0.3552846477283342,266.0,0.0,169655.0,0.0025015029812904
28.512501,77.175,0.5006809049727722,0.3535449081432267,264.0,0.0,59348.0,0.0077796695678931
28.512501,77.1875,0.3620665985962297,0.6808725915118974,247.0,0.0,59348.0,0.0068504747979508
28.512501,77.2,0.5100517563726277,0.3314163186773283,251.0,0.5112793132279391,55826.0,0.0111188466300602
28.512501,77.2125,0.4545499579906962,0.4624798110545269,231.0,0.013680683227279,55826.0,0.009093243940317
28.512501,77.225,0.5033737653912254,0.3471859125572081,231.0,0.6394816735393728,61066.0,0.0057055810810937
28.512501,77.2375,0.5404416268818045,0.2596528321247878,239.0,0.0,61066.0,0.003275650344376
28.512501,77.25,0.5032754740090919,0.3474180205643098,239.0,0.0,55512.0,0.0014374128730152
28.525001,76.8875,0.4473773036665845,0.4794175167278359,214.0,0.0,1975595.0,0.0007187064365076
28.525001,76.9,0.4473773036665845,0.4794175167278359,214.0,0.3890745126756483,1975595.0,0.0007187064365076
28.525001,76.9125,0.4473773036665845,0.4794175167278359,214.0,0.9573938481141222,1975595.0,0.0007187064365076
28.525001,76.925,0.4473773036665845,0.4794175167278359,214.0,0.0789660951804969,1975595.0,0.0007187064365076
28.525001,76.9375,0.4473773036665845,0.4794175167278359,214.0,0.0,1975595.0,0.0007187064365076
28.525001,76.95,0.4473773036665845,0.4794175167278359,214.0,0.0,1975595.0,0.0007187064365076
28.525001,76.9625,0.4473773036665845,0.4794175167278359,214.0,0.0,1975595.0,0.0007187064365076
28.525001,76.975,0.4473773036665845,0.4794175167278359,214.0,0.885149835170196,1975595.0,0.0007187064365076
28.525001,76.9875,0.4473773036665845,0.4794175167278359,214.0,0.7505012308364024,1975595.0,0.0007187064365076
28.525001,77.0,0.4473773036665845,0.4794175167278359,214.0,0.6620934074910024,1975595.0,0.0008271598381167
28.525001,77.05,0.4378647842586392,0.5018806449733717,218.0,0.8274058250827611,419626.0,0.0035866305659729
