lon,lat
28.450001,76.85
28.450001,76.8625
28.450001,76.875
28.450001,76.8875
28.450001,76.9
28.450001,76.9125
28.450001,76.925
28.450001,76.9375
28.450001,76.95
28.450001,76.9625
28.450001,76.975
28.450001,76.9875
28.450001,77.0
28.450001,77.0125
28.450001,77.025
28.450001,77.0375
28.450001,77.05
28.450001,77.0625
28.450001,77.075
28.450001,77.0875
28.450001,77.1
28.450001,77.1125
28.450001,77.125
28.450001,77.1375
28.450001,77.15
28.450001,77.1625
28.450001,77.175
28.450001,77.1875
28.450001,77.2
28.450001,77.2125
28.450001,77.225
28.450001,77.2375
28.450001,77.25
28.462501,76.85
28.462501,76.8625
28.462501,76.875
28.462501,76.8875
28.462501,76.9
28.462501,76.9125
28.462501,76.925
28.462501,76.9375
28.462501,76.95
28.462501,76.9625
28.462501,76.975
28.462501,76.9875
28.462501,77.0
28.462501,77.0125
28.462501,77.025
28.462501,77.0375
28.462501,77.05
28.462501,77.0625
28.462501,77.075
28.462501,77.0875
28.462501,77.1
28.462501,77.1125
28.462501,77.125
28.462501,77.1375
28.462501,77.15
28.462501,77.1625
28.462501,77.175
28.462501,77.1875
28.462501,77.2
28.462501,77.2125
28.462501,77.225
28.462501,77.2375
28.462501,77.25
28.475001,76.85
28.475001,76.8625
28.475001,76.875
28.475001,76.8875
28.475001,76.9
28.475001,76.9125
28.475001,76.925
28.475001,76.9375
28.475001,76.95
28.475001,76.9625
28.475001,76.975
28.475001,76.9875
28.475001,77.0
28.475001,77.0125
28.475001,77.025
28.475001,77.0375
28.475001,77.05
28.475001,77.0625
28.475001,77.075
28.475001,77.0875
28.475001,77.1
28.475001,77.1125
28.475001,77.125
28.475001,77.1375
28.475001,77.15
28.475001,77.1625
28.475001,77.175
28.475001,77.1875
28.475001,77.2
28.475001,77.2125
28.475001,77.225
28.475001,77.2375
28.475001,77.25
28.487501,76.85
28.487501,76.8625
28.487501,76.875
28.487501,76.8875
28.487501,76.9
28.487501,76.9125
28.487501,76.925
28.487501,76.9375
28.487501,76.95
28.487501,76.9625
28.487501,76.975
28.487501,76.9875
28.487501,77.0
28.487501,77.0125
28.487501,77.025
28.487501,77.0375
28.487501,77.05
28.487501,77.0625
28.487501,77.075
28.487501,77.0875
28.487501,77.1
28.487501,77.1125
28.487501,77.125
28.487501,77.1375
28.487501,77.15
28.487501,77.1625
28.487501,77.175
28.487501,77.1875
28.487501,77.2
28.487501,77.2125
28.487501,77.225
28.487501,77.2375
28.487501,77.25
28.500001,76.85
